Contiguous U.S. Average Temperature
Units: Degrees Fahrenheit
Base Period: 1895-2023
Missing: -99
Date,Value,Anomaly
194504,50.22,-1.04
194505,58.28,-2.13
194506,65.88,-2.91
194507,72.93,-0.90
194508,72.16,-0.18
194509,64.99,-0.18
194510,54.14,-0.07
194511,42.01,0.01
194512,29.08,-3.97
194601,31.39,0.80
194602,34.88,1.01
194603,46.78,4.98
194604,54.61,3.35
194605,58.75,-1.66
194606,68.32,-0.47
194607,73.85,0.02
194608,71.17,-1.17
194609,64.54,-0.63
194610,53.15,-1.06
194611,41.74,-0.26
194612,36.18,3.13
194701,31.78,1.19
194702,31.41,-2.46
194703,38.75,-3.05
194704,50.95,-0.31
194705,60.13,-0.28
194706,66.72,-2.07
194707,72.81,-1.02
194708,74.08,1.74
194709,66.54,1.37
194710,58.80,4.59
194711,38.10,-3.90
194712,32.92,-0.13
194801,27.88,-2.71
194802,31.62,-2.25
194803,38.71,-3.09
194804,53.35,2.09
194805,60.24,-0.17
194806,68.76,-0.03
194807,73.26,-0.57
194808,72.05,-0.29
194809,66.07,0.90
194810,53.19,-1.02
194811,41.59,-0.41
194812,32.58,-0.47
194901,25.92,-4.67
194902,31.91,-1.96
194903,40.77,-1.03
194904,52.07,0.81
194905,61.72,1.31
194906,69.24,0.45
194907,74.21,0.38
194908,72.10,-0.24
194909,63.73,-1.44
194910,54.05,-0.16
194911,45.27,3.27
194912,33.26,0.21
195001,30.43,-0.16
195002,35.55,1.68
195003,38.84,-2.96
195004,48.65,-2.61
195005,59.45,-0.96
195006,67.93,-0.86
195007,71.22,-2.61
195008,70.02,-2.32
195009,63.50,-1.67
195010,57.47,3.26
195011,40.64,-1.36
195012,33.01,-0.04
195101,30.20,-0.39
195102,34.54,0.67
195103,38.55,-3.25
195104,49.73,-1.53
195105,60.76,0.35
195106,66.65,-2.14
195107,73.69,-0.14
195108,71.89,-0.45
195109,64.09,-1.08
195110,54.00,-0.21
195111,38.08,-3.92
195112,31.23,-1.82
195201,32.00,1.41
195202,35.46,1.59
195203,37.69,-4.11
195204,51.66,0.40
195205,60.58,0.17
195206,70.75,1.96
195207,74.10,0.27
195208,72.82,0.48
195209,65.89,0.72
195210,52.95,-1.26
195211,39.92,-2.08
195212,33.44,0.39
195301,36.43,5.84
195302,35.87,2.00
195303,43.75,1.95
195304,48.76,-2.50
195305,59.18,-1.23
195306,70.18,1.39
195307,74.17,0.34
195308,72.10,-0.24
195309,66.16,0.99
195310,56.21,2.00
195311,43.88,1.88
195312,33.69,0.64
195401,30.90,0.31
195402,41.41,7.54
195403,39.25,-2.55
195404,54.18,2.92
195405,58.59,-1.82
195406,68.85,0.06
195407,75.47,1.64
195408,72.18,-0.16
195409,66.45,1.28
195410,54.68,0.47
195411,44.06,2.06
195412,33.91,0.86
195501,29.35,-1.24
195502,31.05,-2.82
195503,40.06,-1.74
195504,52.86,1.60
195505,61.29,0.88
195506,66.54,-2.25
195507,74.44,0.61
195508,73.87,1.53
195509,65.88,0.71
195510,55.04,0.83
195511,38.23,-3.77
195512,31.71,-1.34
195601,31.01,0.42
195602,32.27,-1.60
195603,40.75,-1.05
195604,49.37,-1.89
195605,61.77,1.36
195606,70.36,1.57
195607,73.06,-0.77
195608,71.69,-0.65
195609,65.10,-0.07
195610,56.16,1.95
195611,40.32,-1.68
195612,36.23,3.18
195701,27.07,-3.52
195702,38.07,4.20
195703,41.27,-0.53
195704,50.70,-0.56
195705,59.65,-0.76
195706,68.70,-0.09
195707,74.28,0.45
195708,71.65,-0.69
195709,64.18,-0.99
195710,51.67,-2.54
195711,40.26,-1.74
195712,37.00,3.95
195801,31.60,1.01
195802,31.98,-1.89
195803,37.67,-4.13
195804,50.27,-0.99
195805,62.42,2.01
195806,67.93,-0.86
195807,72.63,-1.20
195808,73.29,0.95
195809,65.43,0.26
195810,54.73,0.52
195811,43.02,1.02
195812,32.22,-0.83
195901,29.50,-1.09
195902,32.49,-1.38
195903,41.45,-0.35
195904,51.60,0.34
195905,60.84,0.43
195906,69.96,1.17
195907,73.58,-0.25
195908,73.17,0.83
195909,64.74,-0.43
195910,53.33,-0.88
195911,38.66,-3.34
195912,35.94,2.89
196001,29.46,-1.13
196002,30.52,-3.35
196003,35.91,-5.89
196004,52.59,1.33
196005,59.31,-1.10
196006,69.08,0.29
196007,73.89,0.06
196008,72.21,-0.13
196009,66.45,1.28
196010,54.77,0.56
196011,42.73,0.73
196012,30.40,-2.65
196101,29.71,-0.88
196102,37.42,3.55
196103,43.47,1.67
196104,48.67,-2.59
196105,58.87,-1.54
196106,69.49,0.70
196107,73.24,-0.59
196108,72.70,0.36
196109,63.41,-1.76
196110,53.85,-0.36
196111,40.50,-1.50
196112,31.08,-1.97
196201,26.96,-3.63
196202,34.92,1.05
196203,37.90,-3.90
196204,51.84,0.58
